n,CountingSort,sd_CS,QuickSort,sd_QS,InsertionSort,sd_IS,QuickSort3Ways,sd_QS3W
3511,0.000423271,2.41103e-06,0.000350063,6.83296e-06,0.00551154,5.1176e-05,0.000449687,1.24862e-05
3764,0.000425937,4.46123e-07,0.000374833,5.94571e-06,0.00635119,5.21225e-05,0.000481062,9.25584e-06
4037,0.000428458,3.0749e-06,0.000408584,9.02529e-06,0.00729354,6.71453e-05,0.000519729,8.55122e-06
4328,0.000430813,1.26368e-06,0.000442083,9.74909e-06,0.00829583,6.35736e-05,0.000558125,6.86739e-06
4641,0.000434916,3.4552e-06,0.00047048,7.99546e-06,0.00959508,8.39562e-05,0.000600813,5.50114e-06
4977,0.000436833,1.30151e-06,0.000515854,1.46317e-05,0.0110713,9.68933e-05,0.000655167,1.05189e-05
5336,0.000440167,1.27488e-06,0.000560291,7.23102e-06,0.0126376,0.000138813,0.000696667,8.57442e-06
5722,0.000443646,3.79608e-06,0.000599438,1.71089e-05,0.0144733,9.05005e-05,0.000757646,1.08287e-05
6135,0.000447542,8.28096e-07,0.000654479,1.13545e-05,0.0167197,0.000135827,0.00082423,1.2071e-05
6579,0.000451041,1.29779e-06,0.000704374,1.83776e-05,0.0192503,0.000134762,0.000881334,1.06625e-05
7054,0.000455959,1.15662e-06,0.000746354,1.96754e-05,0.0220776,0.000167538,0.000958146,1.87049e-05
7564,0.000460792,2.87011e-06,0.000806563,7.67019e-06,0.0252859,0.000182841,0.00103388,2.21023e-05
8111,0.000465979,1.80649e-06,0.000872896,2.04709e-05,0.0291699,0.000219011,0.00112204,1.79503e-05
8697,0.000471875,1.44286e-06,0.000957229,1.08304e-05,0.0336699,0.000199665,0.00121679,1.44067e-05
9326,0.000477166,2.30538e-06,0.00102371,1.98946e-05,0.0387603,0.000213996,0.00131519,1.71404e-05
9999,0.000483625,2.50718e-06,0.00110931,2.66292e-05,0.0444534,0.000289134,0.00141446,1.96127e-05
10722,0.000490187,1.20517e-06,0.0011969,1.98219e-05,0.0510883,0.000315545,0.00152692,1.34295e-05
11497,0.000497979,3.96569e-06,0.00127388,2.41337e-05,0.0584977,0.000525994,0.00164879,1.75887e-05
12328,0.000504979,2.78143e-06,0.00138375,2.11746e-05,0.0675044,0.000372546,0.00177692,1.86152e-05
13219,0.000514542,7.06399e-06,0.00152737,3.29793e-05,0.0776228,0.000303643,0.00190129,2.58203e-05
14174,0.000522041,2.62868e-07,0.00162833,2.63954e-05,0.0892804,0.000343625,0.00207735,1.4816e-05
15199,0.000531979,3.86752e-06,0.00176685,2.54469e-05,0.102239,0.000658067,0.00223452,2.40632e-05
16297,0.000542813,2.26247e-06,0.00191062,2.68954e-05,0.117804,0.000355311,0.00239448,2.51706e-05
17475,0.00055377,1.1753e-06,0.00206058,3.27887e-05,0.13553,0.000720349,0.0026041,2.77789e-05
18738,0.000566417,2.14276e-06,0.00219392,3.16855e-05,0.156106,0.000865041,0.00278146,2.01369e-05
