m,CountingSort,sd_CS,QuickSort,sd_QS,InsertionSort,sd_IS,QuickSort3Ways,sd_QS3W
5336,9.86665e-05,2.28864e-07,0.00110823,2.55815e-05,0.0443246,0.000245672,0.00123792,8.42123e-06
5994,0.000101292,8.34911e-07,0.00111427,1.54141e-05,0.044091,0.000212479,0.00125633,1.63933e-05
6734,0.000104104,8.96521e-07,0.00109567,7.07338e-06,0.0443529,0.00030563,0.0012805,1.38821e-05
7564,0.000107437,9.3979e-07,0.00111056,1.79764e-05,0.0443706,0.000308026,0.00130079,2.0278e-05
8497,0.000111,1.07304e-06,0.00111321,2.58244e-05,0.0444627,0.00027801,0.00131331,2.86454e-05
9545,0.000115062,9.94535e-07,0.00111131,1.86522e-05,0.0443277,0.000257374,0.00131146,1.14356e-05
10722,0.000119875,3.54855e-06,0.0011105,2.05005e-05,0.0443181,0.000253042,0.00133738,2.5786e-05
12045,0.000125167,3.34405e-07,0.00109842,1.51982e-05,0.0443374,0.000241639,0.00134785,1.92968e-05
13530,0.000130917,2.19484e-06,0.00109444,1.76247e-05,0.0442921,0.000322458,0.00134892,1.42609e-05
15199,0.00013773,1.16596e-06,0.00111556,1.91957e-05,0.0442503,0.000379077,0.00135317,2.58326e-05
17073,0.00014598,1.2567e-06,0.00111781,1.98636e-05,0.0444072,0.00023451,0.00136133,1.73646e-05
19179,0.000154166,1.22306e-06,0.00110592,1.98479e-05,0.0442319,0.000325934,0.00135517,3.22278e-05
21544,0.000164729,1.04247e-06,0.00110512,2.20873e-05,0.0443928,0.000370301,0.00136942,1.5024e-05
24201,0.000175979,5.32813e-06,0.00110187,1.57397e-05,0.0442745,0.000264826,0.00138875,2.46811e-05
27185,0.000188021,7.21819e-07,0.00110944,2.19095e-05,0.0442318,0.000252372,0.00138775,1.75856e-05
30538,0.000201708,7.42832e-07,0.00111558,1.56253e-05,0.0444053,0.000218178,0.00139485,1.42693e-05
34304,0.000218105,6.77459e-07,0.00111008,2.55183e-05,0.0443437,0.000335643,0.00139073,2.19825e-05
38535,0.000237188,2.00231e-06,0.00110673,1.89603e-05,0.0445413,0.000207115,0.00138975,1.93071e-05
43287,0.000256188,8.63132e-07,0.00110154,2.35063e-05,0.0445346,0.000256343,0.00140375,2.74289e-05
48626,0.000278271,1.42045e-06,0.0011159,2.29996e-05,0.0444681,0.000367373,0.00141067,1.87405e-05
54622,0.000302646,1.28977e-06,0.00110406,1.66327e-05,0.0444039,0.000154219,0.0014004,1.81953e-05
61359,0.00032975,1.53942e-06,0.00110733,2.0659e-05,0.0443127,0.000133233,0.00141417,2.46365e-05
68926,0.000360167,1.52296e-06,0.00110892,1.97913e-05,0.0442918,0.000340143,0.00139704,8.57077e-06
77426,0.000394208,1.32981e-06,0.00110821,2.12667e-05,0.0443197,0.000154052,0.00139883,1.70257e-05
86974,0.000432126,1.15676e-06,0.00110869,2.09434e-05,0.0443186,0.000620252,0.00143481,7.51458e-05
97701,0.000529792,1.99404e-05,0.00121717,7.10597e-05,0.0444874,0.000487696,0.00142696,2.17926e-05
109749,0.000522083,1.97918e-06,0.00110783,1.365e-05,0.0442891,0.000162001,0.00140288,2.22509e-05
123284,0.000576542,5.49185e-06,0.00109744,1.95244e-05,0.0442518,0.000386628,0.00141788,1.7039e-05
138488,0.00063425,2.97661e-06,0.00110177,1.20229e-05,0.0442155,0.000399116,0.00141137,1.53587e-05
155567,0.000701354,1.56157e-06,0.00110221,2.16659e-05,0.0444415,0.00031653,0.00142248,2.27413e-05
174752,0.000777208,1.67361e-06,0.00109987,1.99193e-05,0.0443728,0.000310714,0.00141617,2.33035e-05
196304,0.000862104,5.47836e-06,0.00109669,1.51031e-05,0.0443585,0.000383082,0.00141519,2.82634e-05
220513,0.000957625,5.18502e-06,0.00110262,1.99831e-05,0.0442903,0.000332326,0.0014171,2.30443e-05
247707,0.00106394,6.77814e-06,0.00110573,1.67212e-05,0.0444958,0.000218957,0.00141012,2.44378e-05
278256,0.00118423,8.12934e-06,0.00113098,2.1509e-05,0.044486,0.000291719,0.00141008,1.34619e-05
312571,0.00131654,1.10685e-05,0.00110487,2.47486e-05,0.0444755,0.00022983,0.00140088,1.19119e-05
351119,0.00146788,6.87433e-06,0.00109158,1.78395e-05,0.0442756,0.000300178,0.0014126,1.97271e-05
394420,0.00163692,1.01135e-05,0.00110956,2.35623e-05,0.0445538,0.000282854,0.00140467,1.93084e-05
443062,0.00182481,8.89793e-06,0.00110735,1.5674e-05,0.0443655,0.000178621,0.0014111,1.59497e-05
497702,0.00203971,1.14371e-05,0.00110069,2.66712e-05,0.0443756,0.000185321,0.0013994,2.66477e-05
559081,0.00228235,1.14426e-05,0.0011034,1.68583e-05,0.0444391,0.000194941,0.00142913,2.58978e-05
628029,0.00255385,1.35519e-05,0.00110125,2.11361e-05,0.0445331,0.000307013,0.00140763,2.63366e-05
705480,0.00285773,1.72839e-05,0.00109906,1.86949e-05,0.0446767,0.000365441,0.00141175,2.16617e-05
792483,0.00320062,1.87998e-05,0.0011129,2.81982e-05,0.044282,0.000272845,0.00140842,2.53139e-05
890215,0.00358113,1.91531e-05,0.0011071,2.09091e-05,0.0443445,0.000294654,0.0014349,1.53742e-05
1000000,0.00401213,2.24831e-05,0.00110498,2.13969e-05,0.0443884,0.000249344,0.00143354,1.7362e-05
